claim_id,attribute,reference_evidence_id,speaker,nli_label,nli_entailment,nli_contradiction,nli_neutral
6,accessibility,94,SPEAKER_03,entailment,0.9399019479751587,7.2736875154078e-05,0.06002526730298996
6,user_friendliness,95,SPEAKER_03,neutral,0.03491552546620369,0.00045560082071460783,0.9646289348602295
6,international_market,98,SPEAKER_02,entailment,0.9848542213439941,0.0002006360300583765,0.014945097267627716
7,signal_loss_reprogramming,100,SPEAKER_02,neutral,0.0001752388634486124,0.0005092404899187386,0.9993155002593994
7,signal_loss_reprogramming,102,SPEAKER_02,neutral,0.0037606952246278524,0.0002611101954244077,0.9959782361984253
7,multiple_device_integration,105,SPEAKER_01,neutral,0.000839858956169337,0.0005622164462693036,0.9985979199409485
7,limited_functionality,107,SPEAKER_03,neutral,0.012379673309624195,0.0008098094258457422,0.986810564994812
7,small_buttons,108,SPEAKER_03,neutral,0.0004353101830929518,0.0011406807461753488,0.9984240531921387
7,small_buttons,109,SPEAKER_02,neutral,0.013770324178040028,0.0029688437934964895,0.9832609295845032
9,programming_difficulty,117,SPEAKER_03,neutral,0.020319588482379913,8.894146594684571e-05,0.979591429233551
9,older_users,120,SPEAKER_03,neutral,0.007943146862089634,0.002643333049491048,0.9894134998321533
10,lcd_screen,130,SPEAKER_00,neutral,0.006577619817107916,0.1864522099494934,0.8069701194763184
10,pictures_symbols,134,SPEAKER_02,entailment,0.9630834460258484,0.00035759637830778956,0.036558959633111954
10,flip_top_larger_screen,135,SPEAKER_03,neutral,0.30793890357017517,0.003325326833873987,0.6887357234954834
10,cost_implications,136,SPEAKER_02,neutral,0.0009200673084706068,0.0017206422053277493,0.9973592162132263
10,cost_implications,137,SPEAKER_01,neutral,0.001942422240972519,0.0003027437487617135,0.9977548718452454
10,lightweight_molded_plastic,138,SPEAKER_03,neutral,0.0017167481128126383,0.0010246773017570376,0.9972585439682007
